jbossas.jboss-dmr,2020,19,92547,1
fasseg.exp4j,2019,10,5203,1
geosolutions-it.geoserver-manager,2019,48,11911,1
EsotericSoftware.yamlbeans,2021,19,8484,1
connector4java,2018,10,6631,1
logback-encoder,2021,66,15310,1
vidageek.crawler,2019,14,1777,1
jnr.jnr-posix,2021,24,12685,1
anba.es6draft,2018,57,118946,1
antlr.antlrworks,2020,6,42525,1
commons-cli,2021,28,7066,1
bpsm.edn-java,2020,11,4353,1
junit,2021,196,31242,1
compile-testing,2021,13,7606,1
hoverruan.weiboclient4j,2018,28,8788,1
IvanTrendafilov.Confucius,2021,6,1272,1
jmxtrans.embedded-jmxtrans,2021,38,6583,1
jscep.jscep,2021,48,6346,1
JSqlParser,2021,117,38098,1
lastfm.musicbrainz-data,2020,6,2482,1
mpatric.mp3agic,2020,30,9909,1
OpenGamma.ElSql,2020,8,2823,1
romix.java-concurrent-hash-trie-map,2019,18,2386,1
rschreijer.lutung,2020,11,3692,1
ryanbrainard.axiom,2021,9,6568,1
asterisk-java,2021,61,61899,1
tbuktu.ntru,2020,23,7719,1
timmolter.Yank,2021,8,1545,1
bcel,2021,18,41332,1
joda-time,2021,151,86536,1
